Taimekaitsevahendi ID,Toimeaine,Sisaldus,Ühik
00966,Difenokonasool,250.0000,g/l
267,Fosetüül,310.0000,g/l
267,Propamokarb,530.0000,g/l
00967,Raudfosfaat,41.6000,g/kg
00814,Atseetamipriid,200.0000,g/kg
00944,Prokinasiid,50.0000,g/l
00944,Protiokonasool,200.0000,g/l
00965,Boskaliid,500.0000,g/l
00916,Alumiiniumfosfiid,563.4000,g/kg
00968,Protiokonasool,250.0000,g/l
00920,Mefentriflukonasool,100.0000,g/l
15,Fenmedifaam,160.0000,g/l
00970,Fluopüraam,250.0000,g/l
00970,Trifloksüstrobiin,250.0000,g/l
00840,Pelargoonhape,43.1000,g/l
580,Difenokonasool,250.0000,g/l
00972,Bentasoon,870.0000,g/kg
499,Difenokonasool,30.0000,g/l
602,Fludioksoniil,25.0000,g/l
602,Difenokonasool,25.0000,g/l
430,Klomasoon,360.0000,g/l
379,Mepikvaatkloriid,300.0000,g/l
379,Proheksadioonkaltsium,50.0000,g/l
674,Bensovindiflupüür,75.0000,g/l
674,Protiokonasool,150.0000,g/l
00971,Flupüradifuroon,75.0000,g/l
00971,Deltametriin,10.0000,g/l
608,Prokinasiid,200.0000,g/l
521,Parafiinõli,797.0000,g/l
00969,Raud(III)pürofosfaat,24.0000,g/kg
00682,Raudfosfaat,24.2000,g/kg
385,Tsüprodiniil,500.0000,g/kg
284,Metkonasool,90.0000,g/l
00851,Metkonasool,90.0000,g/l
00973,Aklonifeen,600.0000,g/l
00784,Flonikamiid,500.0000,g/kg
168,Etefoon,155.0000,g/l
168,Mepikvaatkloriid,305.0000,g/l
00979,Boskaliid,500.0000,g/l
00958,Fenhexamid ,500.0000,g/kg
00976,Daminosiid,86.0000,% w/w
00977,Asoksüstrobiin,250.0000,g/l
00974,Raudfosfaat,29.7000,g/kg
212,Fluroksüpüür,40.0000,g/l
212,Klopüraliid,20.0000,g/l
212,MCPA,200.0000,g/l
00734,Trichoderma harzianum T-22,10.0000,g/kg
414,Lambda-tsühalotriin,50.0000,g/kg
646,Tebukonasool,100.0000,g/l
646,Asoksüstrobiin,60.0000,g/l
216,Fluasinaam,500.0000,g/l
00955,Mandipropamiid,200.0000,g/l
00955,Amisulbroom,100.0000,g/l
546,Metasakloor,300.0000,g/l
546,Kvinmerak,100.0000,g/l
546,Dimeteenamiid-P,100.0000,g/l
315,Pendimetaliin,320.0000,g/l
315,Pikolinafeen,16.0000,g/l
00767,Pikolinafeen,750.0000,g/kg
408,MCPA,750.0000,g/l
605,MCPA,750.0000,g/l
606,MCPA,750.0000,g/l
00852,MCPA,750.0000,g/l
00754,MCPA,750.0000,g/l
00747,Tritikonasool,33.3000,g/l
00747,Fludioksoniil,33.3000,g/l
00747,Fluksapüroksaad,33.3000,g/l
568,Metkonasool,45.0000,g/l
568,Fluksapüroksaad,62.5000,g/l
420,Fluksapüroksaad,62.5000,g/l
00831,Fluksapüroksaad,62.5000,g/l
569,Püraklostrobiin,150.0000,g/l
569,Fluksapüroksaad,75.0000,g/l
00791,Mefentriflukonasool,100.0000,g/l
00791,Fluksapüroksaad,50.0000,g/l
00777,Mefentriflukonasool,66.7000,g/l
00777,Fluksapüroksaad,66.7000,g/l
538,Siltiofaam,125.0000,g/l
47,Glüfosaat,360.0000,g/l
555,Proheksadioonkaltsium,100.0000,g/kg
431,Diflufenikaan,500.0000,g/l
00787,Diflufenikaan,500.0000,g/l
528,Fluasinaam,500.0000,g/l
530,Fluasinaam,500.0000,g/l
00882,Metkonasool,90.0000,g/l
00881,Boskaliid,500.0000,g/l
00828,Fenpropidiin,750.0000,g/l
461,Fenpropidiin,750.0000,g/l
00936,Isofetamiid,400.0000,g/l
00978,Püraklostrobiin,200.0000,g/l
00826,Atseetamipriid,200.0000,g/l
660,Püriofenoon,180.0000,g/l
00937,Prosulfokarb,800.0000,g/l
00823,Prosulfokarb,800.0000,g/l
310,Prosulfokarb,800.0000,g/l
00714,Asoksüstrobiin,250.0000,g/l
77,Bentasoon,480.0000,g/l
663,Kvinmerak,250.0000,g/l
663,Imasamoks,35.0000,g/l
00799,Imasamoks,22.4000,g/l
00799,Bentasoon,480.0000,g/l
00906,Imasamoks,12.5000,g/l
00906,Kvinmerak,250.0000,g/l
547,Metasakloor,375.0000,g/l
547,Imasamoks,17.5000,g/l
00685,Fluroksüpüür,200.0000,g/l
00691,Fluroksüpüür,200.0000,g/l
00690,Fluroksüpüür,200.0000,g/l
00748,Metüülhalauksifeen,5.0000,g/l
00748,Klopüraliid,120.0000,g/l
412,Klopüraliid,720.0000,g/kg
39,Rimsulfuroon,250.0000,g/l
00692,Fluroksüpüür,200.0000,g/l
12,Streptomyces K 61,250.0000,g/kg
252,Phlebiopsis gigantea VRA 1835,10.6000,% w/w
487,Phlebiopsis gigantea VRA 1835,2.5000,% w/w
