Taimekaitsevahendi ID,Kasutusala,Kahjustaja,Kulunorm 1,Kulunorm 2,Ühik,Lahuse kontsentratsioon 1,Lahuse kontsentratsioon 2,Kasutamise koht,Piirangud,Töötlemise aeg,Tööoode,Ooteaeg,Töötlemiskordi kasvuperioodil,Töötlemiste intervall
00905,Talinisu,Põld-rebasesaba(ALOMY);Raiheinad(1LOLG);Kaheidulehelised umbrohud(TTTDD),,2.000,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Talinisu,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,,1,
00905,Talitritikale,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Talioder,Põld-rebasesaba(ALOMY);Raiheinad(1LOLG);Kaheidulehelised umbrohud(TTTDD),,2.000,l/ha,,,Avamaa,Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,,1,
00905,Talioder,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Talitritikale,Põld-rebasesaba(ALOMY);Raiheinad(1LOLG);Kaheidulehelised umbrohud(TTTDD),,2.000,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Talirukis,Põld-rebasesaba(ALOMY);Raiheinad(1LOLG);Kaheidulehelised umbrohud(TTTDD),,2.000,l/ha,,,Avamaa,Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,,1,
00923,Talinisu,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Speltanisu,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Suvioder,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Talioder,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Talirukis,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Kaer,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Suvidurumnisu,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Suvinisu,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Tritikale,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Talidurumnisu,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00923,Suvirukis,,1.350,3.750,l/ha,,,Avamaa,,,,,1-2,
00912,CLEARFIELD suviraps,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),1.400,2.000,l/ha,,,Avamaa,"Põhjavee kaitsmiseks mitte kasutada imasamoksi sisaldavat vahendit rohkem kui üks kord samal põllul kolme aasta jooksul.;Mullaorganismide kaitsmiseks mitte kasutada seda või ükskõik millist muud vahendit, mis sisaldab toimeainet kvinmeraak rohkem kui üks kord kolme aasta jooksul.;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast ja külgnevatest kultuuridest või kasutada 75% triivi vähendavaid otsakuid.",,,,1,
00912,CLEARFIELD suvirüps,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),1.400,2.000,l/ha,,,Avamaa,"Põhjavee kaitsmiseks mitte kasutada imasamoksi sisaldavat vahendit rohkem kui üks kord samal põllul kolme aasta jooksul.;Mullaorganismide kaitsmiseks mitte kasutada seda või ükskõik millist muud vahendit, mis sisaldab toimeainet kvinmeraak rohkem kui üks kord kolme aasta jooksul.;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast ja külgnevatest kultuuridest või kasutada 75% triivi vähendavaid otsakuid.",,,,1,
00912,CLEARFIELD taliraps,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),,2.000,l/ha,,,Avamaa,"Mullaorganismide kaitsmiseks mitte kasutada seda või ükskõik millist muud vahendit, mis sisaldab toimeainet kvinmeraak rohkem kui üks kord kolme aasta jooksul.;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast ja külgnevatest kultuuridest või kasutada 75% triivi vähendavaid otsakuid.",,,,1,
00912,CLEARFIELD taliraps,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),1.400,1.800,l/ha,,,Avamaa,"Põhjavee kaitsmiseks mitte kasutada imasamoksi sisaldavat vahendit rohkem kui üks kord samal põllul kolme aasta jooksul.;Mullaorganismide kaitsmiseks mitte kasutada seda või ükskõik millist muud vahendit, mis sisaldab toimeainet kvinmeraak rohkem kui üks kord kolme aasta jooksul.;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast ja külgnevatest kultuuridest või kasutada 75% triivi vähendavaid otsakuid.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud aminopüraliidi sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul",,,,1,
00880,Porgand,Mitmeaastased umbrohud(TTTTT),1.000,1.250,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,40,1,
